orog,6hrLev,surface_altitude,Surface Altitude,5&,0&1&,,1.00E+04
ta,6hrLev,air_temperature,Air Temperature,4&,0&1&15&14&,,
ua,6hrLev,eastward_wind,Eastward Wind,5&3&,0&1&15&14&,,
va,6hrLev,northward_wind,Northward Wind,5&3&,0&1&15&14&,,
hus,6hrLev,specific_humidity,Specific Humidity,9&,0&1&15&14&,,
mrsos,Lmon,moisture_content_of_soil_layer,Moisture in Upper Portion of Soil Column,1&2&,0&1&2&16&,time: mean area: mean where land,146.5
mrso,Lmon,soil_moisture_content,Total Soil Moisture Content,1&2&,0&1&2&,time: mean area: mean where land,5717
mrfso,Lmon,soil_frozen_water_content,Soil Frozen Water Content,1&2&,0&1&2&,time: mean area: mean where land,5763
mrros,Lmon,surface_runoff_flux,Surface Runoff,1&2&3&,0&1&2&,time: mean area: mean where land,0.0009825
mrro,Lmon,runoff_flux,Total Runoff,1&2&3&,0&1&2&,time: mean area: mean where land,0.001065
prveg,Lmon,precipitation_flux_onto_canopy,Precipitation onto Canopy,1&2&3&,0&1&2&,time: mean area: mean where land,
evspsblveg,Lmon,water_evaporation_flux_from_canopy,Evaporation from Canopy,1&2&3&,0&1&2&,time: mean area: mean where land,
evspsblsoi,Lmon,water_evaporation_flux_from_soil,Water Evaporation from Soil,1&2&3&,0&1&2&,time: mean area: mean where land,
tran,Lmon,transpiration_flux,Transpiration,1&2&3&,0&1&2&,time: mean area: mean where land,
mrlsl,Lmon,moisture_content_of_soil_layer,Water Content of Soil Layer,1&2&,0&1&17&2&,time: mean area: mean where land,
tsl,Lmon,soil_temperature,Temperature of Soil,4&,0&1&17&2&,time: mean,
treeFrac,Lmon,area_fraction,Tree Cover Fraction,7&,0&1&2&,time: mean,
grassFrac,Lmon,area_fraction,Natural Grass Fraction,7&,0&1&2&,time: mean,
shrubFrac,Lmon,area_fraction,Shrub Fraction,7&,0&1&2&,time: mean,
cropFrac,Lmon,area_fraction,Crop Fraction,7&,0&1&2&,time: mean,
pastureFrac,Lmon,area_fraction,Anthropogenic Pasture Fraction,7&,0&1&2&,time: mean,
baresoilFrac,Lmon,area_fraction,Bare Soil Fraction,7&,0&1&2&18&,time: mean,
residualFrac,Lmon,area_fraction,Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil,7&,0&1&2&,time: mean,
burntArea,Lmon,area_fraction,Burnt Area Fraction,7&,0&1&2&,time: mean,
cVeg,Lmon,vegetation_carbon_content,Carbon Mass in Vegetation,1&2&,0&1&2&,time: mean area: mean where land,
cLitter,Lmon,litter_carbon_content,Carbon Mass in Litter Pool,1&2&,0&1&2&,time: mean area: mean where land,
cSoil,Lmon,soil_carbon_content,Carbon Mass in Soil Pool,1&2&,0&1&2&,time: mean area: mean where land,
cProduct,Lmon,carbon_content_of_products_of_anthropogenic_land_use_change,Carbon Mass in Products of Land Use Change,1&2&,0&1&2&,time: mean area: mean where land,
